confidence,total_predictions,map50,map50_95,precision50,recall50,f1_50
0.001,1492,0.193349,0.045676,0.069705,0.444444,0.120510
0.005,868,0.191755,0.045372,0.115207,0.427350,0.181488
0.010,701,0.191259,0.045270,0.141227,0.423077,0.211765
0.020,554,0.191259,0.045147,0.178700,0.423077,0.251269
0.050,428,0.188390,0.044663,0.224299,0.410256,0.290030
0.100,346,0.185063,0.043968,0.268786,0.397436,0.320690
0.150,318,0.182647,0.043378,0.286164,0.388889,0.329710
0.200,298,0.182647,0.043378,0.305369,0.388889,0.342105
0.250,285,0.177391,0.041936,0.305263,0.371795,0.335260
0.300,262,0.173443,0.041473,0.320611,0.358974,0.338710
0.350,247,0.172035,0.041195,0.336032,0.354701,0.345114
0.400,234,0.169145,0.040709,0.346154,0.346154,0.346154
0.500,210,0.159936,0.038129,0.357143,0.320513,0.337838
0.600,184,0.145999,0.034854,0.358696,0.282051,0.315789
0.700,152,0.137354,0.032319,0.401316,0.260684,0.316062
