run_start_utc,run_end_utc,run_stamp,slurm_job_id,experiment_name,compression_setting,resolution_label,mode,tile_size,tile_batch_size,batch_size,n_images,width,height,avg_wall_sec,avg_inference_sec,avg_peak_gpu_mem_mb,avg_bpp,avg_compression_ratio,avg_psnr_db,avg_ssim,avg_mse,avg_rmse,avg_mae,avg_error_p95,avg_error_p99,avg_max_abs_error,avg_bias_mean,avg_error_std,avg_seam_error_mean,storage_label
2026-05-21T17:20:20Z,2026-05-21T18:10:20Z,20260522_jacob_compression_n20,2311259,baseline_native_batch1,baseline_b02048,native_full_resolution,full_image,0,,1,20,5440,3648,144.31829,144.320455,52000.03,0.337086,71.1984,29.447665,0.87269,0.001168,0.034138,0.025761,0.066592,0.110465,0.562586,0.008006,0.022388,,shared
2026-05-21T18:10:25Z,2026-05-21T18:13:29Z,20260522_jacob_compression_n20,2311259,batch_test_2k_batch_test_batch1,baseline_b02048,2k_batch_test,full_image,0,,1,20,2048,1344,7.353435,7.352925,7469.025,0.295167,81.3098,24.04366,0.688578,0.00397,0.062887,0.045142,0.123678,0.220522,0.850863,0.0145,0.043776,,shared
2026-05-21T18:13:33Z,2026-05-21T18:17:51Z,20260522_jacob_compression_n20,2311259,batch_test_2k_batch_test_batch2,baseline_b02048,2k_batch_test,full_image,0,,2,20,2048,1344,11.59796,11.59777,14638.4,0.295166,81.3102,24.043155,0.68866,0.00397,0.062891,0.045135,0.123721,0.220481,0.845662,0.014553,0.043789,,shared
2026-05-21T18:17:56Z,2026-05-21T18:21:27Z,20260522_jacob_compression_n20,2311259,batch_test_2k_batch_test_batch4,baseline_b02048,2k_batch_test,full_image,0,,4,20,2048,1344,9.28726,9.28716,28962.8,0.295167,81.3099,24.042535,0.688601,0.00397,0.062893,0.045141,0.123694,0.220488,0.862055,0.014544,0.043786,,shared
2026-05-21T18:35:28Z,2026-05-21T18:36:20Z,20260522_jacob_compression_n20,2311259,resolution_1k,baseline_b02048,1k,full_image,0,,1,20,1024,640,1.93774,1.937275,2005.65,0.308373,77.8279,21.947355,0.610475,0.006433,0.080057,0.055276,0.163227,0.291323,0.891864,0.010587,0.057902,,shared
2026-05-21T18:32:30Z,2026-05-21T18:35:23Z,20260522_jacob_compression_n20,2311259,resolution_2k,baseline_b02048,2k,full_image,0,,1,20,2048,1344,7.356905,7.35638,7469.025,0.295167,81.3098,24.048495,0.688702,0.003966,0.062855,0.045131,0.12361,0.220045,0.83978,0.014497,0.043741,,shared
2026-05-21T18:21:32Z,2026-05-21T18:32:20Z,20260522_jacob_compression_n20,2311259,resolution_4k,baseline_b02048,4k,full_image,0,,1,20,4096,2688,28.892185,28.89168,28980.7,0.32915,72.915,28.261775,0.847011,0.001499,0.038658,0.028901,0.074748,0.12625,0.63723,0.009809,0.025663,,shared
2026-05-21T18:36:44Z,2026-05-21T19:26:26Z,20260522_jacob_compression_n20,2311260,checkpoint_b00032,checkpoint_b00032,native_full_resolution,full_image,0,,1,20,5440,3648,143.682575,143.6847,51943.73,0.402314,59.6548,35.53666,0.91592,0.000275,0.016549,0.012298,0.034194,0.051694,0.25235,-0.000352,0.011074,,shared
2026-05-21T19:26:39Z,2026-05-21T20:16:10Z,20260522_jacob_compression_n20,2311260,checkpoint_b00064,checkpoint_b00064,native_full_resolution,full_image,0,,1,20,5440,3648,143.65882,143.66156,51943.73,0.25777,93.1062,33.73354,0.880317,0.000421,0.020476,0.015036,0.042688,0.064685,0.291854,-7.6e-05,0.013899,,shared
2026-05-21T20:16:24Z,2026-05-21T21:06:00Z,20260522_jacob_compression_n20,2311260,checkpoint_b00128,checkpoint_b00128,native_full_resolution,full_image,0,,1,20,5440,3648,143.701005,143.70358,51943.73,0.14481,165.7343,31.52335,0.828057,0.000706,0.026523,0.019087,0.055808,0.086323,0.390727,0.000384,0.018416,,shared
2026-05-21T21:06:29Z,2026-05-21T21:56:06Z,20260522_jacob_compression_n20,2311260,checkpoint_b00512,checkpoint_b00512,native_full_resolution,full_image,0,,1,20,5440,3648,143.727415,143.73019,52000.03,0.734529,32.674,34.84282,0.942332,0.000337,0.018325,0.013385,0.036454,0.06126,0.343815,0.002734,0.012514,,shared
2026-05-21T21:56:24Z,2026-05-21T22:46:14Z,20260522_jacob_compression_n20,2311260,checkpoint_b01024,checkpoint_b01024,native_full_resolution,full_image,0,,1,20,5440,3648,144.158735,144.15822,52000.03,0.530332,45.2546,32.512825,0.920276,0.000582,0.024088,0.017965,0.047005,0.07851,0.409469,0.005612,0.016043,,shared
2026-05-21T22:46:26Z,2026-05-21T23:36:09Z,20260522_jacob_compression_n20,2311260,checkpoint_b02048,checkpoint_b02048,native_full_resolution,full_image,0,,1,20,5440,3648,143.703535,143.706345,52000.03,0.337086,71.1984,29.448965,0.872697,0.001168,0.034134,0.025754,0.066554,0.11049,0.571298,0.008011,0.022389,,shared
2026-05-21T17:20:31Z,2026-05-21T17:33:18Z,20260522_jacob_compression_n20,2311267,parallel_shard_0,baseline_b02048,native_full_resolution,full_image,0,,1,5,5440,3648,144.13948,144.14272,51966.22,0.330006,72.726,29.9183,0.884589,0.001063,0.032602,0.025163,0.061166,0.101776,0.558287,0.012477,0.020729,,shared
2026-05-21T17:20:31Z,2026-05-21T17:33:17Z,20260522_jacob_compression_n20,2311268,parallel_shard_1,baseline_b02048,native_full_resolution,full_image,0,,1,5,5440,3648,144.2457,144.24894,51966.22,0.33332,72.0029,29.74784,0.87991,0.001089,0.032989,0.025126,0.063481,0.10474,0.553623,0.008316,0.021373,,shared
2026-05-21T17:20:31Z,2026-05-21T17:33:11Z,20260522_jacob_compression_n20,2311269,parallel_shard_2,baseline_b02048,native_full_resolution,full_image,0,,1,5,5440,3648,143.2747,143.2767,51966.22,0.341493,70.2796,29.09952,0.863363,0.001249,0.035339,0.026203,0.070785,0.11794,0.562644,0.005835,0.023711,,shared
2026-05-21T17:20:31Z,2026-05-21T17:33:12Z,20260522_jacob_compression_n20,2311261,parallel_shard_3,baseline_b02048,native_full_resolution,full_image,0,,1,5,5440,3648,143.50434,143.50752,51966.22,0.343525,69.8639,29.02592,0.862863,0.00127,0.035624,0.02656,0.070835,0.118224,0.557327,0.005496,0.023733,,shared
2026-05-21T19:26:47Z,2026-05-21T20:16:25Z,20260522_jacob_compression_n20,2311262,local_storage,baseline_b02048,native_full_resolution,full_image,0,,1,20,5440,3648,143.88614,143.888715,52000.03,0.337086,71.1984,29.451225,0.87271,0.001167,0.034125,0.025751,0.066518,0.11048,0.566281,0.008008,0.02238,,local
