confidence,configuration,map50,map50_95,precision50,recall50,f1_50,num_gt,num_predictions
0.005,original,0.764301,0.398249,0.153533,0.892399,0.261991,1013,5888
0.005,high_quality_512,0.686587,0.228788,0.141904,0.840079,0.242796,1013,5997
0.005,balanced_256,0.675763,0.224223,0.138893,0.835143,0.238176,1013,6091
0.005,max_compression_256,0.618338,0.202694,0.133013,0.792695,0.227801,1013,6037
0.010,original,0.762777,0.397378,0.201895,0.883514,0.328682,1013,4433
0.010,high_quality_512,0.685082,0.228241,0.186160,0.831194,0.304191,1013,4523
0.010,balanced_256,0.673892,0.223561,0.184228,0.823297,0.301083,1013,4527
0.010,max_compression_256,0.616496,0.202000,0.176523,0.780849,0.287950,1013,4481
0.020,original,0.760390,0.396322,0.270559,0.873643,0.413165,1013,3271
0.020,high_quality_512,0.682033,0.227113,0.249473,0.817374,0.382271,1013,3319
0.020,balanced_256,0.670829,0.222394,0.248861,0.808490,0.380576,1013,3291
0.020,max_compression_256,0.614367,0.201176,0.241198,0.770977,0.367443,1013,3238
0.050,original,0.751348,0.391658,0.398699,0.846989,0.542180,1013,2152
0.050,high_quality_512,0.676199,0.225189,0.365237,0.798618,0.501239,1013,2215
0.050,balanced_256,0.663137,0.220155,0.359637,0.782823,0.492853,1013,2205
0.050,max_compression_256,0.604555,0.197922,0.356667,0.739388,0.481208,1013,2100
0.100,original,0.739980,0.386604,0.512615,0.822310,0.631539,1013,1625
0.100,high_quality_512,0.663729,0.221327,0.481184,0.769990,0.592255,1013,1621
0.100,balanced_256,0.652298,0.216958,0.480276,0.757157,0.587739,1013,1597
0.100,max_compression_256,0.588273,0.193277,0.464005,0.699901,0.558048,1013,1528
0.200,original,0.713495,0.373768,0.644554,0.776900,0.704566,1013,1221
0.200,high_quality_512,0.635162,0.212564,0.598023,0.716683,0.651998,1013,1214
0.200,balanced_256,0.625736,0.208338,0.608142,0.707799,0.654197,1013,1179
0.200,max_compression_256,0.555326,0.183285,0.591949,0.638697,0.614435,1013,1093
0.250,original,0.697209,0.366182,0.682184,0.752221,0.715493,1013,1117
0.250,high_quality_512,0.622906,0.208523,0.637184,0.696940,0.665724,1013,1108
0.250,balanced_256,0.605004,0.201938,0.654545,0.675222,0.664723,1013,1045
0.250,max_compression_256,0.531950,0.175555,0.639035,0.601185,0.619532,1013,953
