confidence,configuration,class_id,class_name,num_gt,num_predictions,ap50,precision50,recall50,f1_50
0.005,original,0,vehicle,1013,3717,0.926739,0.263923,0.968411,0.414799
0.005,original,1,roof,1201,9430,0.936053,0.125769,0.987510,0.223121
0.005,high_quality_512,0,vehicle,1013,3663,0.897104,0.262353,0.948667,0.411035
0.005,high_quality_512,1,roof,1201,8798,0.932184,0.134462,0.985012,0.236624
0.005,balanced_256,0,vehicle,1013,3933,0.896597,0.245614,0.953603,0.390619
0.005,balanced_256,1,roof,1201,9462,0.926256,0.124604,0.981682,0.221139
0.005,max_compression_256,0,vehicle,1013,4099,0.892143,0.234691,0.949654,0.376369
0.005,max_compression_256,1,roof,1201,9851,0.922183,0.119886,0.983347,0.213717
0.010,original,0,vehicle,1013,2759,0.925166,0.353751,0.963475,0.517497
0.010,original,1,roof,1201,6062,0.935154,0.194490,0.981682,0.324659
0.010,high_quality_512,0,vehicle,1013,2643,0.894408,0.360197,0.939783,0.520788
0.010,high_quality_512,1,roof,1201,5185,0.931376,0.227001,0.980017,0.368619
0.010,balanced_256,0,vehicle,1013,2930,0.893964,0.326621,0.944719,0.485417
0.010,balanced_256,1,roof,1201,5664,0.925486,0.207097,0.976686,0.341733
0.010,max_compression_256,0,vehicle,1013,3033,0.890741,0.315529,0.944719,0.473060
0.010,max_compression_256,1,roof,1201,5932,0.921184,0.197741,0.976686,0.328894
0.020,original,0,vehicle,1013,2098,0.921294,0.460439,0.953603,0.621022
0.020,original,1,roof,1201,3671,0.933307,0.318987,0.975021,0.480706
0.020,high_quality_512,0,vehicle,1013,2035,0.892228,0.465356,0.934847,0.621391
0.020,high_quality_512,1,roof,1201,3335,0.930481,0.351724,0.976686,0.517196
0.020,balanced_256,0,vehicle,1013,2191,0.892450,0.434961,0.940770,0.594881
0.020,balanced_256,1,roof,1201,3586,0.923782,0.325153,0.970858,0.487153
0.020,max_compression_256,0,vehicle,1013,2314,0.889619,0.412273,0.941757,0.573490
0.020,max_compression_256,1,roof,1201,3703,0.918911,0.313800,0.967527,0.473899
0.050,original,0,vehicle,1013,1593,0.917478,0.602009,0.946693,0.735994
0.050,original,1,roof,1201,2236,0.927200,0.516547,0.961699,0.672098
0.050,high_quality_512,0,vehicle,1013,1552,0.887365,0.604381,0.925962,0.731384
0.050,high_quality_512,1,roof,1201,2218,0.922127,0.518485,0.957535,0.672711
0.050,balanced_256,0,vehicle,1013,1631,0.886634,0.576947,0.928924,0.711800
0.050,balanced_256,1,roof,1201,2327,0.918448,0.494628,0.958368,0.652494
0.050,max_compression_256,0,vehicle,1013,1681,0.882591,0.558596,0.926950,0.697105
0.050,max_compression_256,1,roof,1201,2367,0.912565,0.483312,0.952540,0.641256
0.100,original,0,vehicle,1013,1332,0.909669,0.710961,0.934847,0.807676
0.100,original,1,roof,1201,1849,0.921895,0.618713,0.952540,0.750164
0.100,high_quality_512,0,vehicle,1013,1326,0.880309,0.699095,0.915104,0.792646
0.100,high_quality_512,1,roof,1201,1795,0.915477,0.632869,0.945878,0.758344
0.100,balanced_256,0,vehicle,1013,1356,0.878012,0.683628,0.915104,0.782609
0.100,balanced_256,1,roof,1201,1853,0.910576,0.611981,0.944213,0.742633
0.100,max_compression_256,0,vehicle,1013,1397,0.873548,0.661417,0.912142,0.766805
0.100,max_compression_256,1,roof,1201,1899,0.905479,0.593997,0.939217,0.727742
0.200,original,0,vehicle,1013,1147,0.890188,0.802964,0.909181,0.852778
0.200,original,1,roof,1201,1573,0.914062,0.718373,0.940883,0.814708
0.200,high_quality_512,0,vehicle,1013,1162,0.870071,0.785714,0.901283,0.839540
0.200,high_quality_512,1,roof,1201,1537,0.908652,0.731295,0.935887,0.821037
0.200,balanced_256,0,vehicle,1013,1185,0.865034,0.767089,0.897335,0.827116
0.200,balanced_256,1,roof,1201,1570,0.904573,0.715287,0.935054,0.810538
0.200,max_compression_256,0,vehicle,1013,1183,0.859993,0.765004,0.893386,0.824226
0.200,max_compression_256,1,roof,1201,1585,0.896751,0.701577,0.925895,0.798277
0.250,original,0,vehicle,1013,1110,0.888559,0.827928,0.907206,0.865756
0.250,original,1,roof,1201,1505,0.910999,0.747508,0.936719,0.831486
0.250,high_quality_512,0,vehicle,1013,1111,0.862896,0.813681,0.892399,0.851224
0.250,high_quality_512,1,roof,1201,1476,0.903714,0.756098,0.929226,0.833769
0.250,balanced_256,0,vehicle,1013,1120,0.856572,0.801786,0.886476,0.842007
0.250,balanced_256,1,roof,1201,1492,0.899626,0.747319,0.928393,0.828073
0.250,max_compression_256,0,vehicle,1013,1136,0.854609,0.790493,0.886476,0.835738
0.250,max_compression_256,1,roof,1201,1497,0.891366,0.736807,0.918401,0.817643
0.300,original,0,vehicle,1013,1069,0.883566,0.854069,0.901283,0.877041
0.300,original,1,roof,1201,1443,0.908439,0.776854,0.933389,0.847958
0.300,high_quality_512,0,vehicle,1013,1072,0.858004,0.837687,0.886476,0.861391
0.300,high_quality_512,1,roof,1201,1405,0.899877,0.790036,0.924230,0.851880
0.300,balanced_256,0,vehicle,1013,1071,0.848457,0.829132,0.876604,0.852207
0.300,balanced_256,1,roof,1201,1439,0.895230,0.769979,0.922565,0.839394
0.300,max_compression_256,0,vehicle,1013,1097,0.849866,0.813127,0.880553,0.845498
0.300,max_compression_256,1,roof,1201,1410,0.885021,0.775177,0.910075,0.837227
0.500,original,0,vehicle,1013,959,0.846608,0.908238,0.859822,0.883367
0.500,original,1,roof,1201,1249,0.880822,0.865492,0.900083,0.882449
0.500,high_quality_512,0,vehicle,1013,941,0.819728,0.907545,0.843040,0.874104
0.500,high_quality_512,1,roof,1201,1213,0.871244,0.881286,0.890092,0.885667
0.500,balanced_256,0,vehicle,1013,932,0.807980,0.902361,0.830207,0.864781
0.500,balanced_256,1,roof,1201,1247,0.870053,0.858861,0.891757,0.875000
0.500,max_compression_256,0,vehicle,1013,936,0.802471,0.893162,0.825271,0.857876
0.500,max_compression_256,1,roof,1201,1224,0.863610,0.867647,0.884263,0.875876
