confidence,configuration,map50,map50_95,precision50,recall50,f1_50,num_gt,num_predictions
0.005,original,0.931396,0.650248,0.164828,0.978771,0.282143,2214,13147
0.005,high_quality_512,0.914644,0.525093,0.172057,0.968383,0.292198,2214,12461
0.005,balanced_256,0.911426,0.517166,0.160134,0.968835,0.274841,2214,13395
0.005,max_compression_256,0.907163,0.512261,0.153620,0.967931,0.265157,2214,13950
0.010,original,0.930160,0.649202,0.244303,0.973351,0.390575,2214,8821
0.010,high_quality_512,0.912892,0.524080,0.271972,0.961608,0.424019,2214,7828
0.010,balanced_256,0.909725,0.516424,0.247847,0.962060,0.394152,2214,8594
0.010,max_compression_256,0.905963,0.511513,0.237591,0.962060,0.381072,2214,8965
0.020,original,0.927301,0.647063,0.370428,0.965221,0.535388,2214,5769
0.020,high_quality_512,0.911354,0.522778,0.394786,0.957543,0.559072,2214,5370
0.020,balanced_256,0.908116,0.515187,0.366799,0.957091,0.530347,2214,5777
0.020,max_compression_256,0.904265,0.510060,0.351670,0.955736,0.514154,2214,6017
0.050,original,0.922339,0.644067,0.552102,0.954833,0.699652,2214,3829
0.050,high_quality_512,0.904746,0.518814,0.553846,0.943089,0.697861,2214,3770
0.050,balanced_256,0.902541,0.511710,0.528550,0.944896,0.677900,2214,3958
0.050,max_compression_256,0.897578,0.505779,0.514575,0.940831,0.665283,2214,4048
0.100,original,0.915782,0.639595,0.657340,0.944444,0.775162,2214,3181
0.100,high_quality_512,0.897893,0.514897,0.661006,0.931798,0.773383,2214,3121
0.100,balanced_256,0.894294,0.507378,0.642256,0.930894,0.760096,2214,3209
0.100,max_compression_256,0.889513,0.502060,0.622573,0.926829,0.744828,2214,3296
0.200,original,0.902125,0.631040,0.754044,0.926378,0.831374,2214,2720
0.200,high_quality_512,0.889361,0.510659,0.754724,0.920054,0.829229,2214,2699
0.200,balanced_256,0.884804,0.502628,0.737568,0.917796,0.817871,2214,2755
0.200,max_compression_256,0.878372,0.496247,0.728685,0.911021,0.809715,2214,2768
0.250,original,0.899779,0.629150,0.781644,0.923216,0.846552,2214,2615
0.250,high_quality_512,0.883305,0.507103,0.780827,0.912376,0.841491,2214,2587
0.250,balanced_256,0.878099,0.499481,0.770674,0.909214,0.834231,2214,2612
0.250,max_compression_256,0.872988,0.493176,0.759970,0.903794,0.825665,2214,2633
0.300,original,0.896002,0.626488,0.809713,0.918699,0.860770,2214,2512
0.300,high_quality_512,0.878940,0.504454,0.810658,0.906956,0.856107,2214,2477
0.300,balanced_256,0.871843,0.496807,0.795219,0.901536,0.845047,2214,2510
0.300,max_compression_256,0.867443,0.491082,0.791783,0.896567,0.840924,2214,2507
0.500,original,0.863715,0.607265,0.884058,0.881662,0.882858,2214,2208
0.500,high_quality_512,0.845486,0.488057,0.892758,0.868564,0.880495,2214,2154
0.500,balanced_256,0.839016,0.481047,0.877467,0.863595,0.870476,2214,2179
0.500,max_compression_256,0.833041,0.474657,0.878704,0.857272,0.867856,2214,2160
